ID,Level,col3,col4,col5,col6,col7,col8
1,632.7353,1,0,3,f,0,a3Piu
2,619.6429,3,1,2,e,0,a3Piu
3,635.3315,3,1,3,e,0,a3Piu
4,603.8174,5,2,1,f,0,a3Piu
5,625.9242,5,2,2,f,0,a3Piu
6,644.3435,5,2,3,f,0,a3Piu
7,612.1955,7,3,1,e,0,a3Piu
8,635.1283,7,3,2,e,0,a3Piu
9,654.6419,7,3,3,e,0,a3Piu
10,623.4761,9,4,1,f,0,a3Piu
11,648.0452,9,4,2,f,0,a3Piu
12,670.7618,9,4,3,f,0,a3Piu
13,637.6958,11,5,1,e,0,a3Piu
14,663.6341,11,5,2,e,0,a3Piu
15,688.3231,11,5,3,e,0,a3Piu
16,654.9588,13,6,1,f,0,a3Piu
17,683.2696,13,6,2,f,0,a3Piu
18,711.2075,13,6,3,f,0,a3Piu
19,675.2408,15,7,1,e,0,a3Piu
20,705.329,15,7,2,e,0,a3Piu
21,735.7206,15,7,3,e,0,a3Piu
22,698.679,17,8,1,f,0,a3Piu
23,731.6318,17,8,2,f,0,a3Piu
24,765.2126,17,8,3,f,0,a3Piu
25,725.1808,19,9,1,e,0,a3Piu
26,760.1705,19,9,2,e,0,a3Piu
27,796.5022,19,9,3,e,0,a3Piu
28,754.9099,21,10,1,f,0,a3Piu
29,793.0816,21,10,2,f,0,a3Piu
30,832.526,21,10,3,f,0,a3Piu
31,787.7299,23,11,1,e,0,a3Piu
32,828.0885,23,11,2,e,0,a3Piu
33,870.4927,23,11,3,e,0,a3Piu
34,823.8111,25,12,1,f,0,a3Piu
35,867.5666,25,12,2,f,0,a3Piu
36,913.0053,25,12,3,f,0,a3Piu
37,863.0079,27,13,1,e,0,a3Piu
38,909.0271,27,13,2,e,0,a3Piu
39,957.5887,27,13,3,e,0,a3Piu
40,905.4704,29,14,1,f,0,a3Piu
41,955.0452,29,14,2,f,0,a3Piu
42,1006.5614,29,14,3,f,0,a3Piu
43,951.0789,31,15,1,e,0,a3Piu
44,1002.9446,31,15,2,e,0,a3Piu
45,1057.722,31,15,3,e,0,a3Piu
46,999.9336,33,16,1,f,0,a3Piu
47,1055.4838,33,16,2,f,0,a3Piu
48,1113.1321,33,16,3,f,0,a3Piu
49,1051.974,35,17,1,e,0,a3Piu
50,1109.807,35,17,2,e,0,a3Piu
51,1170.8414,35,17,3,e,0,a3Piu
52,1107.2213,37,18,1,f,0,a3Piu
53,1168.8529,37,18,2,f,0,a3Piu
54,1232.669,37,18,3,f,0,a3Piu
55,1165.7042,39,19,1,e,0,a3Piu
56,1229.5842,39,19,2,e,0,a3Piu
57,1296.9047,39,19,3,e,0,a3Piu
58,1227.3379,41,20,1,f,0,a3Piu
59,1295.1243,41,20,2,f,0,a3Piu
60,1365.1306,41,20,3,f,0,a3Piu
61,1292.268,43,21,1,e,0,a3Piu
62,1362.2473,43,21,2,e,0,a3Piu
63,1435.874,43,21,3,e,0,a3Piu
64,1360.2774,45,22,1,f,0,a3Piu
65,1434.2697,45,22,2,f,0,a3Piu
66,1510.479,45,22,3,f,0,a3Piu
