id,energy,na,na,lifetime,na,na,na,na
1,6.33E+02,1,0,-1.00E+00,3,f,0,a3Piu
2,6.20E+02,3,1,-1.00E+00,2,e,0,a3Piu
3,6.35E+02,3,1,-1.00E+00,3,e,0,a3Piu
4,6.04E+02,5,2,-1.00E+00,1,f,0,a3Piu
5,6.26E+02,5,2,-1.00E+00,2,f,0,a3Piu
6,6.44E+02,5,2,-1.00E+00,3,f,0,a3Piu
7,6.12E+02,7,3,-1.00E+00,1,e,0,a3Piu
8,6.35E+02,7,3,-1.00E+00,2,e,0,a3Piu
9,6.55E+02,7,3,-1.00E+00,3,e,0,a3Piu
10,6.23E+02,9,4,-1.00E+00,1,f,0,a3Piu
11,6.48E+02,9,4,-1.00E+00,2,f,0,a3Piu
12,6.71E+02,9,4,-1.00E+00,3,f,0,a3Piu
13,6.38E+02,11,5,-1.00E+00,1,e,0,a3Piu
14,6.64E+02,11,5,-1.00E+00,2,e,0,a3Piu
15,6.88E+02,11,5,-1.00E+00,3,e,0,a3Piu
16,6.55E+02,13,6,-1.00E+00,1,f,0,a3Piu
17,6.83E+02,13,6,-1.00E+00,2,f,0,a3Piu
18,7.11E+02,13,6,-1.00E+00,3,f,0,a3Piu
19,6.75E+02,15,7,-1.00E+00,1,e,0,a3Piu
20,7.05E+02,15,7,-1.00E+00,2,e,0,a3Piu
21,7.36E+02,15,7,-1.00E+00,3,e,0,a3Piu
22,6.99E+02,17,8,-1.00E+00,1,f,0,a3Piu
23,7.32E+02,17,8,-1.00E+00,2,f,0,a3Piu
24,7.65E+02,17,8,-1.00E+00,3,f,0,a3Piu
25,7.25E+02,19,9,-1.00E+00,1,e,0,a3Piu
26,7.60E+02,19,9,-1.00E+00,2,e,0,a3Piu
27,7.97E+02,19,9,-1.00E+00,3,e,0,a3Piu
28,7.55E+02,21,10,-1.00E+00,1,f,0,a3Piu
29,7.93E+02,21,10,-1.00E+00,2,f,0,a3Piu
30,8.33E+02,21,10,-1.00E+00,3,f,0,a3Piu
31,7.88E+02,23,11,-1.00E+00,1,e,0,a3Piu
32,8.28E+02,23,11,-1.00E+00,2,e,0,a3Piu
33,8.70E+02,23,11,-1.00E+00,3,e,0,a3Piu
34,8.24E+02,25,12,-1.00E+00,1,f,0,a3Piu
35,8.68E+02,25,12,-1.00E+00,2,f,0,a3Piu
36,9.13E+02,25,12,-1.00E+00,3,f,0,a3Piu
37,8.63E+02,27,13,-1.00E+00,1,e,0,a3Piu
38,9.09E+02,27,13,-1.00E+00,2,e,0,a3Piu
39,9.58E+02,27,13,-1.00E+00,3,e,0,a3Piu
40,9.05E+02,29,14,-1.00E+00,1,f,0,a3Piu
41,9.55E+02,29,14,-1.00E+00,2,f,0,a3Piu
42,1.01E+03,29,14,-1.00E+00,3,f,0,a3Piu
43,9.51E+02,31,15,-1.00E+00,1,e,0,a3Piu
44,1.00E+03,31,15,-1.00E+00,2,e,0,a3Piu
45,1.06E+03,31,15,-1.00E+00,3,e,0,a3Piu
46,1.00E+03,33,16,-1.00E+00,1,f,0,a3Piu
47,1.06E+03,33,16,-1.00E+00,2,f,0,a3Piu
48,1.11E+03,33,16,-1.00E+00,3,f,0,a3Piu
49,1.05E+03,35,17,-1.00E+00,1,e,0,a3Piu
50,1.11E+03,35,17,-1.00E+00,2,e,0,a3Piu
51,1.17E+03,35,17,-1.00E+00,3,e,0,a3Piu
52,1.11E+03,37,18,-1.00E+00,1,f,0,a3Piu
53,1.17E+03,37,18,-1.00E+00,2,f,0,a3Piu
54,1.23E+03,37,18,-1.00E+00,3,f,0,a3Piu
55,1.17E+03,39,19,-1.00E+00,1,e,0,a3Piu
56,1.23E+03,39,19,-1.00E+00,2,e,0,a3Piu
57,1.30E+03,39,19,-1.00E+00,3,e,0,a3Piu
58,1.23E+03,41,20,-1.00E+00,1,f,0,a3Piu
59,1.30E+03,41,20,-1.00E+00,2,f,0,a3Piu
60,1.37E+03,41,20,-1.00E+00,3,f,0,a3Piu
61,1.29E+03,43,21,-1.00E+00,1,e,0,a3Piu
62,1.36E+03,43,21,-1.00E+00,2,e,0,a3Piu
63,1.44E+03,43,21,-1.00E+00,3,e,0,a3Piu
64,1.36E+03,45,22,-1.00E+00,1,f,0,a3Piu
65,1.43E+03,45,22,-1.00E+00,2,f,0,a3Piu
66,1.51E+03,45,22,-1.00E+00,3,f,0,a3Piu
67,1.43E+03,47,23,-1.00E+00,1,e,0,a3Piu
68,1.51E+03,47,23,-1.00E+00,2,e,0,a3Piu
69,1.59E+03,47,23,-1.00E+00,3,e,0,a3Piu
70,1.51E+03,49,24,-1.00E+00,1,f,0,a3Piu
71,1.59E+03,49,24,-1.00E+00,2,f,0,a3Piu
72,1.67E+03,49,24,-1.00E+00,3,f,0,a3Piu
73,1.58E+03,51,25,-1.00E+00,1,e,0,a3Piu
74,1.67E+03,51,25,-1.00E+00,2,e,0,a3Piu
75,1.75E+03,51,25,-1.00E+00,3,e,0,a3Piu
76,1.66E+03,53,26,-1.00E+00,1,f,0,a3Piu
77,1.75E+03,53,26,-1.00E+00,2,f,0,a3Piu
78,1.84E+03,53,26,-1.00E+00,3,f,0,a3Piu
79,1.75E+03,55,27,-1.00E+00,1,e,0,a3Piu
80,1.84E+03,55,27,-1.00E+00,2,e,0,a3Piu
81,1.93E+03,55,27,-1.00E+00,3,e,0,a3Piu
82,1.84E+03,57,28,-1.00E+00,1,f,0,a3Piu
83,1.93E+03,57,28,-1.00E+00,2,f,0,a3Piu
84,2.02E+03,57,28,-1.00E+00,3,f,0,a3Piu
85,1.93E+03,59,29,-1.00E+00,1,e,0,a3Piu
86,2.02E+03,59,29,-1.00E+00,2,e,0,a3Piu
87,2.12E+03,59,29,-1.00E+00,3,e,0,a3Piu
88,2.02E+03,61,30,-1.00E+00,1,f,0,a3Piu
89,2.12E+03,61,30,-1.00E+00,2,f,0,a3Piu
90,2.22E+03,61,30,-1.00E+00,3,f,0,a3Piu
91,2.12E+03,63,31,-1.00E+00,1,e,0,a3Piu
92,2.22E+03,63,31,-1.00E+00,2,e,0,a3Piu
93,2.32E+03,63,31,-1.00E+00,3,e,0,a3Piu
94,2.22E+03,65,32,-1.00E+00,1,f,0,a3Piu
95,2.32E+03,65,32,-1.00E+00,2,f,0,a3Piu
96,2.43E+03,65,32,-1.00E+00,3,f,0,a3Piu
97,2.32E+03,67,33,-1.00E+00,1,e,0,a3Piu
98,2.43E+03,67,33,-1.00E+00,2,e,0,a3Piu
99,2.54E+03,67,33,-1.00E+00,3,e,0,a3Piu
100,2.43E+03,69,34,-1.00E+00,1,f,0,a3Piu
101,2.54E+03,69,34,-1.00E+00,2,f,0,a3Piu
102,2.65E+03,69,34,-1.00E+00,3,f,0,a3Piu
103,2.54E+03,71,35,-1.00E+00,1,e,0,a3Piu
104,2.65E+03,71,35,-1.00E+00,2,e,0,a3Piu
105,2.77E+03,71,35,-1.00E+00,3,e,0,a3Piu
106,2.65E+03,73,36,-1.00E+00,1,f,0,a3Piu
107,2.77E+03,73,36,-1.00E+00,2,f,0,a3Piu
108,2.89E+03,73,36,-1.00E+00,3,f,0,a3Piu
109,2.76E+03,75,37,-1.00E+00,1,e,0,a3Piu
110,2.88E+03,75,37,-1.00E+00,2,e,0,a3Piu
111,3.01E+03,75,37,-1.00E+00,3,e,0,a3Piu
112,2.88E+03,77,38,-1.00E+00,1,f,0,a3Piu
113,3.01E+03,77,38,-1.00E+00,2,f,0,a3Piu
114,3.13E+03,77,38,-1.00E+00,3,f,0,a3Piu
115,3.01E+03,79,39,-1.00E+00,1,e,0,a3Piu
116,3.13E+03,79,39,-1.00E+00,2,e,0,a3Piu
117,3.26E+03,79,39,-1.00E+00,3,e,0,a3Piu
118,3.13E+03,81,40,-1.00E+00,1,f,0,a3Piu
119,3.26E+03,81,40,-1.00E+00,2,f,0,a3Piu
120,3.39E+03,81,40,-1.00E+00,3,f,0,a3Piu
121,3.26E+03,83,41,-1.00E+00,1,e,0,a3Piu
122,3.39E+03,83,41,-1.00E+00,2,e,0,a3Piu
123,3.53E+03,83,41,-1.00E+00,3,e,0,a3Piu
124,3.39E+03,85,42,-1.00E+00,1,f,0,a3Piu
125,3.53E+03,85,42,-1.00E+00,2,f,0,a3Piu
126,3.66E+03,85,42,-1.00E+00,3,f,0,a3Piu
127,3.52E+03,87,43,-1.00E+00,1,e,0,a3Piu
128,3.66E+03,87,43,-1.00E+00,2,e,0,a3Piu
129,3.81E+03,87,43,-1.00E+00,3,e,0,a3Piu
130,3.66E+03,89,44,-1.00E+00,1,f,0,a3Piu
131,3.80E+03,89,44,-1.00E+00,2,f,0,a3Piu
132,3.95E+03,89,44,-1.00E+00,3,f,0,a3Piu
133,3.80E+03,91,45,-1.00E+00,1,e,0,a3Piu
134,3.95E+03,91,45,-1.00E+00,2,e,0,a3Piu
135,4.10E+03,91,45,-1.00E+00,3,e,0,a3Piu
136,3.95E+03,93,46,-1.00E+00,1,f,0,a3Piu
137,4.10E+03,93,46,-1.00E+00,2,f,0,a3Piu
138,4.25E+03,93,46,-1.00E+00,3,f,0,a3Piu
139,4.09E+03,95,47,-1.00E+00,1,e,0,a3Piu
140,4.24E+03,95,47,-1.00E+00,2,e,0,a3Piu
141,4.40E+03,95,47,-1.00E+00,3,e,0,a3Piu
142,4.24E+03,97,48,-1.00E+00,1,f,0,a3Piu
143,4.40E+03,97,48,-1.00E+00,2,f,0,a3Piu
144,4.55E+03,97,48,-1.00E+00,3,f,0,a3Piu
145,4.40E+03,99,49,-1.00E+00,1,e,0,a3Piu
146,4.55E+03,99,49,-1.00E+00,2,e,0,a3Piu
147,4.71E+03,99,49,-1.00E+00,3,e,0,a3Piu
148,4.55E+03,101,50,-1.00E+00,1,f,0,a3Piu
149,4.71E+03,101,50,-1.00E+00,2,f,0,a3Piu
150,4.88E+03,101,50,-1.00E+00,3,f,0,a3Piu
151,4.71E+03,103,51,-1.00E+00,1,e,0,a3Piu
