ID,Level,,col3
1,10273.175,*,19
2,10269.867,*,20
3,11014.486,*,3
4,11009.821,*,4
5,11433.94,*,5
6,11429.238,*,5
7,12842.125,*,7
8,12837.252,*,6
9,13708.412,*,3
10,13703.4,*,3
11,11058.455,*,9
12,11053.349,*,8
13,10105.13,*,3
14,10099.965,*,4
15,11625.254,*,3
16,11620.036,*,4
17,12047.558,*,5
18,12042.294,*,6
19,9768.089,*,15
20,9762.782,*,14
21,14386.01,*,3
22,14380.652,*,2
23,9474.896,*,18
24,9469.499,*,19
25,16225.384,*,14
26,16219.971,*,14
27,16718.8,*,14
28,16713.302,*,15
29,18659.325,*,17
30,18653.798,*,18
31,14795.78,*,2
32,14790.2,*,2
33,11020.091,*,3
34,11472.807,*,3
35,11467.177,*,2
36,14914.08,*,16
37,14908.445,*,16
38,8914.042,44,5
39,8908.351,52,6
40,14070.727,*,5
41,14065.013,*,5
42,13428.408,*,16
43,13422.604,*,17
44,13271.701,*,16
45,13265.894,*,17
46,13698.577,*,9
47,13692.732,*,9
48,18940.067,*,20
49,18934.135,*,19
50,12291.868,*,3
51,12285.926,*,2
52,12740.987,*,16
53,12735.027,*,15
54,13526.915,*,12
55,13520.843,*,12
56,12640.531,*,9
57,12634.398,*,9
58,19139.628,*,19
59,19133.459,*,18
60,13702.192,*,9
61,13695.839,*,10
62,13307.894,*,14
63,13301.423,*,13
64,14433.364,*,14
65,14426.837,*,15
66,16963.183,*,19
67,16956.643,*,19
68,17184.388,*,16
69,17177.838,*,15
70,15321.762,*,17
71,15315.212,*,17
72,14361.38,*,15
73,14354.806,*,15
74,12754.275,*,2
75,12747.679,*,1
76,14774.986,*,14
77,14768.311,*,15
78,18927.393,*,18
79,16140.864,*,14
80,16134.113,*,14
81,7304.875,10,2
82,7298.076,14,3
83,17066.281,*,18
84,17059.364,*,19
85,18139.479,*,16
86,18132.546,*,17
87,12651.148,*,4
88,12644.207,*,5
89,14138.865,*,18
90,14131.893,*,19
91,6346.442,22,5
92,6339.427,26,6
93,7720.904,*,8
94,7713.888,*,9
95,19311.09,*,18
96,19304.069,*,18
97,18862.213,*,20
98,18855.185,*,19
99,15399.767,*,13
100,15392.709,*,12
101,7486.476,*,8
102,7479.375,*,9
103,17902.217,*,20
104,17895.079,*,20
105,13466.539,*,5
106,13459.399,*,4
107,17633.985,*,16
108,17626.739,*,17
109,13282.268,*,3
110,13275.016,*,4
111,18163.227,*,20
112,18155.969,*,19
113,18015.357,*,17
114,18008.08,*,17
115,11940.632,*,5
116,11933.346,*,6
117,13668.919,*,17
118,13661.633,*,16
119,13681.451,*,10
120,13674.155,*,11
121,11434.421,*,10
122,11427.11,*,11
123,15868.652,*,14
124,15861.34,*,13
125,12411.053,*,15
126,12403.728,*,14
127,14373.909,*,6
128,14366.573,*,5
129,16866.133,*,17
130,16858.753,*,17
131,12111.295,*,11
132,12103.91,*,11
133,14513.392,*,18
134,14505.999,*,17
135,4710.949,*,8
136,4703.547,*,9
137,14679.074,*,14
138,14671.657,*,14
139,15037.239,*,11
140,15029.818,*,11
141,12925.566,*,3
142,12918.115,*,2
143,19535.8,*,19
144,19528.337,*,20
145,9677.855,*,17
146,9670.374,*,18
147,18799.221,*,19
148,18791.737,*,20
149,17950.902,*,20
150,17943.393,*,19
151,15540.451,*,14
152,15532.923,*,14
153,18288.34,*,19
154,18280.796,*,20
155,12344.38,*,7
156,12336.832,*,6
157,7062.604,*,7
158,7055.05,*,8
159,15128.001,*,9
160,15120.416,*,10
161,14600.802,*,5
162,14593.194,*,6
163,12883.885,*,2
164,12876.262,*,3
165,19299.808,*,18
166,19292.164,*,18
167,18358.87,*,17
168,18351.219,*,18
169,14585.526,*,6
170,14085.07,*,4
171,14077.387,*,4
172,13313.796,*,14
173,13306.103,*,14
174,17830.542,*,19
175,17822.838,*,20
176,16623.104,*,18
177,16615.379,*,17
178,16270.691,*,13
179,16262.941,*,12
180,19265.894,*,19
181,19258.12,*,20
182,16010.223,*,14
183,16002.447,*,15
184,12446.041,*,7
185,12438.242,*,6
186,15124.553,*,18
187,15116.751,*,18
188,17446.149,*,18
189,17438.342,*,18
190,13681.645,*,1
191,13673.836,*,1
192,19885.327,*,19
193,19877.497,*,20
194,12911.976,*,12
195,12904.143,*,11
196,17638.975,*,15
197,17631.09,*,16
198,13197.262,*,10
199,13189.376,*,9
200,20869.491,*,20
201,20861.592,*,20
202,19861.077,*,18
203,19853.169,*,19
204,17437.668,*,20
205,17429.719,*,19
206,13638.941,*,3
207,13630.981,*,4
208,16077.549,*,18
209,16069.579,*,18
210,14930.811,*,5
211,14922.836,*,5
212,12956.942,*,12
213,12948.958,*,13
214,15152.479,*,10
215,15144.481,*,9
216,13451.39,*,4
217,19874.853,*,19
218,19866.808,*,19
219,17958.952,*,19
220,11263.167,*,11
221,11255.116,*,10
222,13960.094,*,6
223,13952.04,*,7
224,14958.394,*,12
225,14950.329,*,12
226,15997.118,*,16
227,15989.045,*,17
228,15475.788,*,19
229,15467.712,*,19
230,13548.403,*,2
231,13540.298,*,2
232,16940.912,*,19
233,16932.798,*,18
234,16039.15,*,19
235,16031.022,*,20
236,10445.085,*,6
237,10436.944,*,7
238,7212.704,*,16
239,7204.555,*,15
240,19205.051,*,17
241,19196.886,*,17
242,13150.34,*,11
243,13142.173,*,12
244,15907.045,*,15
245,15898.877,*,15
246,20011.869,*,20
247,20003.659,*,19
248,11995.783,*,8
249,11987.568,*,8
250,19877.097,*,18
251,11685.36,*,14
252,11677.115,*,13
253,14391.17,*,16
254,14382.887,*,17
255,7867.04,30,7
256,7858.754,26,6
257,14011.867,*,13
258,14003.557,*,14
259,8558.17,*,9
260,8549.84,*,8
261,14801.319,*,7
262,14792.989,*,6
263,17115.952,*,14
264,17107.613,*,13
265,13539.437,*,13
266,13531.088,*,14
267,14034.738,*,14
268,14026.388,*,13
269,14253.435,*,10
270,14245.082,*,11
271,19188.524,*,18
272,13622.615,*,4
273,11305.108,*,4
274,11296.739,*,5
275,17292.3,*,15
276,17283.91,*,14
277,18424.402,*,16
278,18416.007,*,17
279,18885.203,*,17
280,18876.791,*,18
281,13680.407,*,13
282,13671.987,*,14
283,20175.174,*,19
284,20166.748,*,19
285,18155.581,*,17
286,18147.13,*,16
287,17188.606,*,19
288,17180.15,*,18
289,19023.966,*,19
290,19015.506,*,20
291,13983.838,*,13
292,13975.364,*,14
293,13010.098,*,7
294,13001.612,*,6
295,10661.92,*,3
296,10653.418,*,4
297,13204.153,*,11
298,13195.645,*,11
299,16900.061,*,15
300,16891.542,*,15
301,16056.529,*,14
302,16047.997,*,15
303,15434.698,*,2
304,15426.159,*,1
305,17144.35,*,14
306,17135.805,*,14
307,14741.062,*,2
308,14732.515,*,2
309,15214.719,*,16
310,15206.149,*,16
311,14146.424,*,5
312,14137.839,*,6
313,19858.215,*,19
314,15956.941,*,13
315,15948.348,*,12
316,18942.744,*,18
317,12581.114,*,8
318,12572.493,*,7
319,13205.894,*,11
320,17150.111,*,15
321,17141.479,*,15
322,13226.525,*,4
323,13217.88,*,3
324,14305.519,*,10
325,14296.871,*,9
326,13153.919,*,15
327,13145.271,*,16
328,14293.543,*,14
329,14284.877,*,14
330,14001.364,*,10
331,13992.688,*,10
332,14296.938,*,8
333,14288.256,*,8
334,18424.707,*,18
335,15894.845,*,14
336,15886.143,*,13
337,16011.174,*,16
338,14778.668,*,8
339,14769.932,*,7
340,14766.955,*,4
341,14758.181,*,5
342,13257.106,*,16
343,14882.181,*,11
344,14873.383,*,11
345,12405.243,*,7
346,12396.426,*,6
347,17757.335,*,18
348,17748.512,*,18
349,11335.717,*,12
350,11326.886,*,13
351,11140.138,*,16
352,11131.306,*,15
353,19954.724,*,18
354,19945.861,*,19
355,12635.411,*,0
356,12626.546,*,1
357,15920.865,*,18
358,15911.993,*,18
359,18086.461,*,15
360,18077.553,*,15
361,15394.151,*,19
362,15385.233,*,18
363,17340.115,*,17
364,17331.191,*,16
365,12874.335,*,6
366,12865.409,*,6
367,18639.964,*,15
368,18631.028,*,15
369,12838.015,*,12
370,12829.058,*,12
371,10511.288,*,14
372,10502.33,*,15
373,14215.716,*,12
374,14206.744,*,12
375,18006.893,*,17
376,17997.909,*,17
377,14856.969,*,13
378,14847.971,*,13
379,15851.216,*,19
380,15842.217,*,20
381,19609.535,*,19
382,19600.518,*,18
383,17103.623,*,18
384,17094.59,*,18
385,12217.709,*,18
386,12208.665,*,17
387,21188.616,*,20
388,21179.561,*,20
389,17458.037,*,17
390,17448.972,*,17
391,17360.687,*,17
392,17351.614,*,16
393,13890.537,*,11
394,13881.446,*,12
395,15944.818,*,18
396,15935.719,*,17
397,16017.719,*,13
398,16008.614,*,13
399,14671.982,*,4
400,14662.867,*,3
401,13622.618,*,14
402,13613.495,*,15
403,7563.555,26,6
404,7554.432,30,7
405,19584.685,*,20
406,19575.558,*,20
407,12745.37,*,5
408,12736.219,*,4
409,14069.562,*,6
410,14060.41,*,5
411,21070.364,*,20
412,21061.21,*,20
413,7401.868,*,12
414,7392.707,*,11
415,15111.222,*,9
416,19148.832,*,20
417,8699.005,*,17
418,8689.8,*,18
419,16231.003,*,11
420,16221.796,*,12
421,17364.217,*,20
422,17354.996,*,20
423,15663.431,*,11
424,15654.191,*,11
425,14561.777,*,17
426,14552.534,*,16
427,18459.702,*,16
428,18450.457,*,15
429,14769.732,*,8
430,14760.475,*,9
431,12679.982,*,13
432,12670.724,*,12
433,13847.564,*,18
434,13838.298,*,19
435,5589.886,20,2
436,5580.62,12,1
437,16679.688,*,17
438,16670.408,*,16
439,11085.671,*,12
440,11076.372,*,13
441,14695.413,*,6
442,14686.096,*,7
443,14511.969,*,9
444,14502.648,*,8
445,18077.136,*,16
446,14616.143,*,8
447,14606.814,*,7
448,18123.206,*,17
449,11996.915,*,9
450,10166.585,*,8
451,10157.228,*,9
452,15261.819,*,11
453,15252.457,*,11
454,18026.287,*,16
455,18016.918,*,17
456,15819.103,*,18
457,15809.732,*,18
458,17168.466,*,16
459,16830.103,*,17
460,16820.72,*,17
461,8523.479,*,13
462,8514.094,*,14
463,17242.638,*,19
464,17233.213,*,18
465,12650.83,*,13
466,12641.4,*,13
467,13002.014,*,4
468,12992.576,*,5
469,14143.248,*,16
470,14133.808,*,17
471,12300.767,*,7
472,12291.324,*,7
473,13009.954,*,11
474,13000.509,*,11
475,20375.623,*,20
476,20366.179,*,20
477,15565.658,*,12
478,15556.203,*,11
479,19955.333,*,19
480,12844.977,*,7
481,12835.504,*,6
482,15173.403,*,20
483,15163.928,*,20
484,17833.975,*,15
485,17824.494,*,15
486,17686.899,*,16
487,17677.414,*,16
488,15425.192,*,15
489,15415.704,*,16
490,12577.994,*,7
491,12568.499,*,8
492,13825.011,*,10
493,13815.493,*,11
494,17896.103,*,18
495,17886.583,*,19
496,14625.221,*,19
497,14615.699,*,19
498,18852.689,*,20
499,12725.501,*,16
500,16828.863,*,15
501,16819.326,*,16
502,16744.342,*,13
503,16734.804,*,13
504,17799.209,*,20
505,17789.655,*,20
506,20757.917,*,20
507,20748.362,*,20
508,13732.078,*,7
509,13722.522,*,7
510,15037.3,*,5
511,15027.731,*,6
512,18483.252,*,17
513,18473.674,*,17
514,20731.394,*,20
515,20721.805,*,19
516,11624.61,*,16
517,11615.002,*,16
518,12043.981,*,9
519,12034.367,*,10
520,10591.711,*,13
521,10582.093,*,12
522,8113.127,14,3
523,8103.505,18,4
524,16778.935,*,14
525,16769.302,*,15
526,11756.727,*,10
527,11747.089,*,11
528,10688.989,*,15
529,10679.349,*,15
530,19094.02,*,17
531,19084.371,*,17
532,13765.562,*,6
533,13755.913,*,5
534,13754.528,*,14
535,13744.878,*,13
536,17509.586,*,15
